COUNTRY,TOBACCO PRODUCTS INCLUDED,YEAR,CURRENCY*,TOTAL EXCISE (SPECIFIC AND AD VALOREM),VALUE ADDED TAX (VAT) AND OTHER SALES TAXES,IMPORT DUTIES AND ALL OTHER TAXES (EXCLUDING CORPORATE TAXES ON TOBACCO COMPANIES),TOTAL REVENUES
Republic of Korea,Cigarettes only,2016,KRW,10919 100 000 000.00, 1 525 400 000 000.00,. . ., 12 444 500 000 000.00
Republic of Moldova,All Tobacco products,2017,MDL,1 826 900 000.00,. . .,. . .,. . .
Romania,All Tobacco products,2018,RON,9 843 879 719.89,. . .,. . .,. . .
Russian Federation,All Tobacco products,2017,RUB,590 793 000 000.00,. . .,. . .,. . .
Rwanda,Cigarettes only,2017,RWF,9 577 077 870.00,. . .,. . .,. . .
Saint Kitts and Nevis,All Tobacco products,2018,XCD,  176 852.87,    183 514.17,    394 397.69,    754 764.73
Saint Lucia,. . .,2016,XCD, 10 781 193.06,   2 225 116.57,   1 136 008.17,   14 142 317.80
Saint Vincent and the Grenadines,All Tobacco products,2017,XCD,  590 554.00,   1 309 207.00,    573 972.00,   2 473 733.00
Samoa,All Tobacco Products,2015,WST, 28 619 998.30,. . .,. . .,. . .
San Marino,All Tobacco Products,2012,EUR, 13 950 000.00,. . .,. . .,. . .
Sao Tome and Principe,Cigarettes only,2017,STN,. . .,. . .,. . .,  7 127 519 164.00
Saudi Arabia,All Tobacco Products,2014,SAR,. . .,. . .,  4 119 780 120.00,  4 119 780 120.00
Senegal,All Tobacco products,2017,XOF,13 972 474 061.00,. . .,. . .,. . .
Serbia,All Tobacco products,2017,RSD,99 082 200 000.00,. . .,. . .,. . .
Seychelles,All Tobacco products,2017,SCR, 182 589 505.38,   44 473 723.42,   22 582 259.07,   249 645 487.87
Sierra Leone,Cigarettes only,2016,SLL,8 432 125 311.00,  4 987 643 213.00,  4 529 034 340.00,  17 948 802 864.00
Singapore,All Tobacco products,2017,SGD,1 174 121 169.33,. . .,. . .,. . .
Slovakia,All Tobacco Products,2015,EUR, 663 383 000.00,. . .,. . .,. . .
Slovenia,All Tobacco products,2018,EUR, 420 160 680.00,. . .,. . .,. . .
Solomon Islands,All Tobacco products,2017,SBD, 109 120 994.00,. . .,   49 640 206.00,. . .
Somalia,Cigarettes,2011,USD,. . .,. . .,. . .,    135 943.00
South Africa,Cigarettes only,2017/2018,ZAR,11 067 423 000.00,   383 828 213.00,   138 777 234.00,  11 590 028 447.00
South Sudan,. . .,. . .,. .,. . .,. . .,. . .,. . .
Spain,All Tobacco products,2017,EUR,6 741 620 000.00,. . .,. . .,. . .
Sri Lanka,Cigarettes only,2013,LKR,58 567 000 000.00,  10 259 345 000.00,  31 554 969 000.00,  100 381 314 000.00
Sudan,Cigarettes only,2017,SDG, 769 600 000.00,. . .,. . .,. . .
Suriname,All Tobacco products,2018,SRD, 57 035 954.26,   11 678 911.50,    904 838.99,   69 619 704.75
Sweden,All Tobacco products,2017,SEK,11 872 000 000.00,. . .,. . .,. . .
Switzerland,All Tobacco products,2017,CHF,2 138 000 000.00,   325 000 000.00,   46 300 000.00,  2 509 300 000.00
Syrian Arab Republic,. . .,. . .,. .,. . .,. . .,. . .,. . .
Tajikistan,All Tobacco Products,2013,TJS, 6 386 000.00,. . .,. . .,. . .
Thailand,All Tobacco products,2017-18,THB,68 548 170 000.00,. . .,. . .,. . .
Timor-Leste,Cigarettes only,2012,USD,. . .,. . .,. . .,   15 591 266.88
Togo,Cigarettes only,2017,XOF,. . .,. . .,. . .,  4 950 936 032.00
Tonga,Cigarettes only,2017/2018,TOP, 19 819 503.99,   2 662 023.60,   1 819 146.72,   24 300 674.31
Trinidad and Tobago,Cigarettes only,2017,TTD, 227 100 000.00,. . .,. . .,   227 100 000.00
Tunisia,Cigarettes only,2013,TND, 768 070 000.00,   96 238 000.00,   198 095 000.00,  1 062 403 000.00
Turkey,All Tobacco products,2017,TRY,37 426 851 000.00,  8 536 000 000.00,. . .,. . .
Turkmenistan,All Tobacco Products,2015,TMT, 266 862 800.00,. . .,. . .,. . .
Tuvalu,Cigarettes only,2013,AUD,  327 592.55,    35 326.86,    31 984.23,    394 903.64
